,name,weight,retail_price,max_retail_price,category,url
10,garlic small/చిన్న,Size: 250gm,25,30,aquaculture,https://cdn.mydukaan.io/app/image/357x357/?url=https://mydukaan.s3.amazonaws.com/4095334/aed5eba0-f960-4532-acdb-c318a2972346/1619280956154-4261148d-728a-4222-8685-bc81d1742728.jpeg
11,garlic big/పెద్ద వెల్లులిపాయలు,Size: 250gm,40,45,aquaculture,https://cdn.mydukaan.io/app/image/357x357/?url=https://mydukaan.s3.amazonaws.com/4095334/aed5eba0-f960-4532-acdb-c318a2972346/1619280980435-e4dd310d-3088-4027-871d-8348ea1561e0.jpeg
12,varipindi/ rice floor,Size: 250 Gm,8,10,aquaculture,https://cdn.mydukaan.io/app/image/357x357/?url=https://mydukaan.s3.amazonaws.com/4095334/aed5eba0-f960-4532-acdb-c318a2972346/1626003776636-f75fa69d-b985-4e9b-8eef-a3f67932e7e2.jpeg
0,johnson's baby milk soap/జాన్సన్ బేబీ మిల్క్ సోప్,Size: 50gm,35,,baby care,https://cdn.mydukaan.io/app/image/357x357/?url=https://mydukaan.s3.amazonaws.com/baby-care/johnson-s-baby-milk-soap-d21nr6grzu.jpg
1,johnson's baby oil with vitamin e/జాన్సన్ బేబీ ఆయిల్ విత్ విటమిన్ ఇ,Size: 50ml,52,,baby care,https://cdn.mydukaan.io/app/image/357x357/?url=https://mydukaan.s3.amazonaws.com/baby-care/johnson-s-baby-oil-with-vitamin-e-amn9npe52y.jpg
2,johnson's baby lotion/జాన్సన్ బేబీ లోషన్,per 50 ml,45,,baby care,https://cdn.mydukaan.io/app/image/357x357/?url=https://mydukaan.s3.amazonaws.com/baby-care/johnson-s-baby-lotion-kg6sc9qmeh.jpg
3,johnson's baby cream/జాన్సన్ బేబీ క్రీమ్,Size: 30gm,45,,baby care,https://cdn.mydukaan.io/app/image/357x357/?url=https://mydukaan.s3.amazonaws.com/4095334/aed5eba0-f960-4532-acdb-c318a2972346/1619759898535-5c927741-bf11-4442-b4d0-8a86d4a297f9.jpeg
4,johnson's baby hair oil/జాన్సన్ బేబీ హెయిర్ ఆయిల్,per 60 ml,55,,baby care,https://cdn.mydukaan.io/app/image/357x357/?url=https://mydukaan.s3.amazonaws.com/4095334/aed5eba0-f960-4532-acdb-c318a2972346/1619760122240-f9b80b05-ba5f-46ea-b8f7-632d203f2e90.jpeg
5,himalaya baby powder/హిమాలయ బేబీ పౌడర్,per 50 gram,35,,baby care,https://cdn.mydukaan.io/app/image/357x357/?url=https://mydukaan.s3.amazonaws.com/4095334/aed5eba0-f960-4532-acdb-c318a2972346/1619760217338-e78b3ef7-e8a0-4215-82c0-7aef37c69e82.jpeg
6,johnson's baby powder/జాన్సన్ బేబీ పౌడర్,Size: 50gm,40,,baby care,https://cdn.mydukaan.io/app/image/357x357/?url=https://mydukaan.s3.amazonaws.com/baby-care/johnson-s-baby-powder-80rio5dukv.jpg
7,woodwards gripe water/వుడ్వర్డ్స్ గ్రైప్ వాటర్,per 200 ml,75,,baby care,https://cdn.mydukaan.io/app/image/357x357/?url=https://mydukaan.s3.amazonaws.com/4095334/aed5eba0-f960-4532-acdb-c318a2972346/1619775390514-efbef266-c31d-4820-9eff-6f2765003f71.jpeg
8,pampers happy skin pants 4-8 kg,per 2 pc,20,,baby care,https://cdn.mydukaan.io/app/image/357x357/?url=https://mydukaan.s3.amazonaws.com/baby-care/pampers-happy-skin-pants-xl-ltvdh2s2su.jpg
9,pampers happy skin pants(s) 7-12 kg,per 2 pc,24,,baby care,https://cdn.mydukaan.io/app/image/357x357/?url=https://mydukaan.s3.amazonaws.com/baby-care/pampers-happy-skin-pants-s-ix91vq4wrh.jpg
10,pampers happy skin pants(l) 9-14 kg,per 2 pc,28,,baby care,https://cdn.mydukaan.io/app/image/357x357/?url=https://mydukaan.s3.amazonaws.com/baby-care/pampers-happy-skin-pants-l-hvhmyancq1.jpg
11,pampers new born baby dry pants upto 5 kg,per 2 pcs,18,,baby care,https://cdn.mydukaan.io/app/image/357x357/?url=https://mydukaan.s3.amazonaws.com/baby-care/pampers-new-born-baby-dry-pants-cpun5p76e0.jpg
12,nine diaper pants (s) 4-8 kg,per piece,10,,baby care,https://cdn.mydukaan.io/app/image/357x357/?url=https://mydukaan.s3.amazonaws.com/4095334/aed5eba0-f960-4532-acdb-c318a2972346/1619950560608-802d0189-98e3-4b10-8e5b-1178432c0a03.jpeg
13,ajay flexo junior brush / అజయ్ ఫ్లెక్సో జూనియర్ బ్రష్,per piece,12,,baby care,https://cdn.mydukaan.io/app/image/357x357/?url=https://mydukaan.s3.amazonaws.com/4095334/aed5eba0-f960-4532-acdb-c318a2972346/1620011737177-306a0580-4cb0-43b5-82a8-4e4dec3f85b3.jpeg
14,johnson's baby shampoo / జాన్సన్ బేబీ షాంపూ,Size: 50ml,55,,baby care,https://cdn.mydukaan.io/app/image/357x357/?url=https://mydukaan.s3.amazonaws.com/baby-care/johnson-s-baby-shampoo-vhovyh1m4i.jpg
15,himalaya baby powder 200g (baby soap free),per 200 gm,135,,baby care,https://cdn.mydukaan.io/app/image/357x357/?url=https://mydukaan-prod.s3.amazonaws.com/master/products/himalaya-baby-powder-200g-baby-soap-free.jpg
16,himalaya gentle baby soap 75g,per 75 gm,49,50.0,baby care,https://cdn.mydukaan.io/app/image/357x357/?url=https://mydukaan-prod.s3.amazonaws.com/master/products/himalaya-gentle-baby-soap-75g.png
17,himalaya baby powder 100g,per 100 gm,70,72.0,baby care,https://cdn.mydukaan.io/app/image/357x357/?url=https://mydukaan-prod.s3.amazonaws.com/master/products/himalaya-baby-powder-100g.jpg
0,horlicks classic malt (pouch)/హార్లిక్స్ క్లాసిక్ మాల్ట్ (పర్సు),Size: 8gm,2,,beverages,https://cdn.mydukaan.io/app/image/371x371/?url=https://mydukaan.s3.amazonaws.com/beverages/horlicks-classic-malt-its3jfqan5.jpg
1,horlicks classic malt jars/హార్లిక్స్ క్లాసిక్ మాల్ట్ జాడి,per 200 gm,108,111.0,beverages,https://cdn.mydukaan.io/app/image/371x371/?url=https://mydukaan.s3.amazonaws.com/4095334/aed5eba0-f960-4532-acdb-c318a2972346/1619245977982-23c9c8a5-ed3b-4295-ae55-2d74d16a9cd4.jpeg
2,horlicks classic malt (box)/హార్లిక్స్ క్లాసిక్ మాల్ట్ (బాక్స్),per 500 gram,220,229.0,beverages,https://cdn.mydukaan.io/app/image/371x371/?url=https://mydukaan.s3.amazonaws.com/4095334/aed5eba0-f960-4532-acdb-c318a2972346/1619246023088-06f8e086-de1c-4580-8c10-ea1ae50a65ee.jpeg
3,bournvita jar/బోర్న్విటా జార్,per 500 gm,215,223.0,beverages,https://cdn.mydukaan.io/app/image/371x371/?url=https://mydukaan.s3.amazonaws.com/4095334/aed5eba0-f960-4532-acdb-c318a2972346/1619247924374-fe924526-b0cb-4eeb-9246-447c1ae9c474.jpeg
4,boost (box)/బూస్ట్ (బాక్స్),per 500 gram,230,234.0,beverages,https://cdn.mydukaan.io/app/image/371x371/?url=https://mydukaan.s3.amazonaws.com/4095334/aed5eba0-f960-4532-acdb-c318a2972346/1619249944153-55b1801a-7fd5-46be-97a4-bfce881d4868.jpeg
5,boost (packet)/బూస్ట్ (ప్యాకెట్),Size: 7gm,2,,beverages,https://cdn.mydukaan.io/app/image/371x371/?url=https://mydukaan.s3.amazonaws.com/4095334/aed5eba0-f960-4532-acdb-c318a2972346/1619249928144-877f5fbf-c773-4a25-ab55-4fba3e286732.jpeg
6,horlicks chocolate delight jar/హార్లిక్స్ చాక్లెట్ డిలైట్ జార్,per 500 g,215,221.0,beverages,https://cdn.mydukaan.io/app/image/371x371/?url=https://mydukaan.s3.amazonaws.com/beverages/horlicks-chocolate-delight-2n7n14p6qj.jpg
7,horlicks regular malt lite/హార్లిక్స్ రెగ్యులర్ మాల్ట్ లైట్,per 450 g,285,290.0,beverages,https://cdn.mydukaan.io/app/image/371x371/?url=https://mydukaan.s3.amazonaws.com/beverages/horlicks-regular-malt-wgd4gymtkz.jpg
8,junior horlicks jar/జూనియర్ హార్లిక్స్ జార్,per 500 gram,285,288.0,beverages,https://cdn.mydukaan.io/app/image/371x371/?url=https://mydukaan.s3.amazonaws.com/4095334/aed5eba0-f960-4532-acdb-c318a2972346/1619249863858-0553de7c-0540-4833-9483-9be594aa1f75.jpeg
9,junior horlicks packet/జూనియర్ హార్లిక్స్ ప్యాకెట్,per 500 gram,205,209.0,beverages,https://cdn.mydukaan.io/app/image/371x371/?url=https://mydukaan.s3.amazonaws.com/4095334/aed5eba0-f960-4532-acdb-c318a2972346/1619249850547-fc700b98-b95d-487e-a9b2-b20f9d399dc0.jpeg
10,mother's plus horlicks/మోథెర్స్ ప్లస్ హార్లిక్స్,Size: 200gm,195,199.0,beverages,https://cdn.mydukaan.io/app/image/371x371/?url=https://mydukaan.s3.amazonaws.com/4095334/aed5eba0-f960-4532-acdb-c318a2972346/1619249834780-b936acc5-3e09-492c-90d4-93babe80f16c.jpeg
11,women's plus horlicks/మహిళల ప్లస్ హార్లిక్స్,per 400 gram,295,299.0,beverages,https://cdn.mydukaan.io/app/image/371x371/?url=https://mydukaan.s3.amazonaws.com/4095334/aed5eba0-f960-4532-acdb-c318a2972346/1619249824092-b4d530be-98f7-490a-a078-fe19ce0c0ce7.jpeg
12,chakra gold special hotel pack/చక్రా గోల్డ్ స్పెషల్ హోటల్ ప్యాక్,per 500 gram,260,271.0,beverages,https://cdn.mydukaan.io/app/image/371x371/?url=https://mydukaan.s3.amazonaws.com/4095334/aed5eba0-f960-4532-acdb-c318a2972346/1619262483937-7d164067-3eaa-4013-8be5-22db2cf87922.jpeg
13,chakra gold tea (box)/చక్ర గోల్డ్ టీ (బాక్స్),Size: 8.5gm,5,,beverages,https://cdn.mydukaan.io/app/image/371x371/?url=https://mydukaan.s3.amazonaws.com/4095334/aed5eba0-f960-4532-acdb-c318a2972346/1619262653259-bc7521d2-7cdb-4987-8423-db03e728b94d.jpeg
14,3roses hotel pack/లుాస్ టిీపొడి/loose tea podi,per 500 gram,290,315.0,beverages,https://cdn.mydukaan.io/app/image/371x371/?url=https://mydukaan.s3.amazonaws.com/4095334/aed5eba0-f960-4532-acdb-c318a2972346/1619273901712-8c436696-b9d2-4a2d-854f-b1cead04cce8.jpeg
15,3roses tea(box)/3రోసెస్ టీ (బాక్స్),Size: 100gm,80,,beverages,https://cdn.mydukaan.io/app/image/371x371/?url=https://mydukaan.s3.amazonaws.com/4095334/aed5eba0-f960-4532-acdb-c318a2972346/1619273840138-5100eebb-20d6-41df-a9bc-0f6836e4233f.jpeg
16,taj mahal tea/తాజ్ మహల్ టీ,Size: 100gm,74,75.0,beverages,https://cdn.mydukaan.io/app/image/371x371/?url=https://mydukaan.s3.amazonaws.com/beverages/taj-mahal-leaf-tea-lchraykntv.jpg
17,red label tea/రెడ్ లేబెల్ టీ,Size: 100gm,45,,beverages,https://cdn.mydukaan.io/app/image/371x371/?url=https://mydukaan.s3.amazonaws.com/4095334/aed5eba0-f960-4532-acdb-c318a2972346/1619273740480-864cff59-46f7-48a2-8a58-4e309bda0fda.jpeg
18,3roses natural care tea/3రొసెస్ నేచురల్ కేర్,Size: 100gm,85,,beverages,https://cdn.mydukaan.io/app/image/371x371/?url=https://mydukaan.s3.amazonaws.com/4095334/aed5eba0-f960-4532-acdb-c318a2972346/1619273680465-dd6dffb9-7a21-4a3a-a822-a02bb88e2dc3.jpeg
19,avt premium hotel pack/avt ప్రీమియం హోటల్ ప్యాక్,Size: 250gm,125,130.0,beverages,https://cdn.mydukaan.io/app/image/371x371/?url=https://mydukaan.s3.amazonaws.com/4095334/aed5eba0-f960-4532-acdb-c318a2972346/1619273627557-d201969b-0ebb-4687-9734-a87f6a347386.jpeg
20,tang orange instant drink powder/టాంగ్ ఆరెంజ్ ఇన్‌స్టంట్ డ్రింక్ పౌడర్,Size: 15.3gm,5,,beverages,https://cdn.mydukaan.io/app/image/371x371/?url=https://mydukaan.s3.amazonaws.com/beverages/tang-orange-instant-drink-powder-7hcmtnkh6y.jpg
21,lipton honey & lemon green tea bags(10 bags)/లిప్టన్ హనీ & లెమన్ గ్రీన్ టీ బ్యాగ్స్ (10 బ్యాగులు),Size: 14gm(10 Bags),65,,beverages,https://cdn.mydukaan.io/app/image/371x371/?url=https://mydukaan.s3.amazonaws.com/4095334/aed5eba0-f960-4532-acdb-c318a2972346/1619753704434-48a80819-64dd-46c3-8ede-66c9f0a4907f.jpeg
22,lipton green tea powder(16 cups)/లిప్టన్ గ్రీన్ టీ పౌడర్ (16 కప్పులు),per 20 gram,20,,beverages,https://cdn.mydukaan.io/app/image/371x371/?url=https://mydukaan.s3.amazonaws.com/4095334/aed5eba0-f960-4532-acdb-c318a2972346/1619753666225-128afd25-afd1-4909-a3d6-1adf33514b3f.jpeg
23,dabur glucose -d(paste offer)/డాబర్ గ్లూకోజ్ -డి (పేస్ట్ ఆఫర్),per kg,190,199.0,beverages,https://cdn.mydukaan.io/app/image/371x371/?url=https://mydukaan.s3.amazonaws.com/4095334/aed5eba0-f960-4532-acdb-c318a2972346/1619754128668-332aa8be-1daa-4e13-9262-e0d58e889ae0.jpeg
24,dabur glucose-d/డాబర్ గ్లూకోజ్-డి,per 500 gram,100,105.0,beverages,https://cdn.mydukaan.io/app/image/371x371/?url=https://mydukaan.s3.amazonaws.com/4095334/aed5eba0-f960-4532-acdb-c318a2972346/1619754196147-486ec7a3-8f58-46b9-830e-1fe6c8863c1c.jpeg
25,dabur glucose-d/డాబర్ గ్లూకోజ్-డి,per 250 gram,55,58.0,beverages,https://cdn.mydukaan.io/app/image/371x371/?url=https://mydukaan.s3.amazonaws.com/4095334/aed5eba0-f960-4532-acdb-c318a2972346/1619754236603-2b24d0af-f9ff-498f-9905-673891d199d4.jpeg
26,dabur glucose -d(bournvita offer)/డాబర్ గ్లూకోజ్ -డి (బోర్న్‌విటా ఆఫర్),per 125 gram,25,28.0,beverages,https://cdn.mydukaan.io/app/image/371x371/?url=https://mydukaan.s3.amazonaws.com/4095334/aed5eba0-f960-4532-acdb-c318a2972346/1619754323144-b014fac5-399b-46c4-b647-7aa99ed81161.jpeg
27,bru coffee rs-2/- sheet (12pc)/బ్రూ కాఫీ 2/- షీట్,per bundle,22,24.0,beverages,https://cdn.mydukaan.io/app/image/371x371/?url=https://mydukaan.s3.amazonaws.com/4095334/aed5eba0-f960-4532-acdb-c318a2972346/1619880848639-8a7874b7-7a26-4765-916a-49a60aab1afe.jpeg
28,rasna mango /రస్నా మామిడి,per 45 gram,42,,beverages,https://cdn.mydukaan.io/app/image/371x371/?url=https://mydukaan.s3.amazonaws.com/4095334/aed5eba0-f960-4532-acdb-c318a2972346/1619933542333-0fe84d06-d4fd-441a-b060-42c774f3cfe8.jpeg
29,rasna pineapple/ రస్నా పైనాపిల్,per 45 gram,42,,beverages,https://cdn.mydukaan.io/app/image/371x371/?url=https://mydukaan.s3.amazonaws.com/4095334/aed5eba0-f960-4532-acdb-c318a2972346/1619933640992-61a0536c-2e4a-4950-9d0e-15a331445fa4.jpeg
30,bru instant coffee / బ్రూ ఇన్‌స్టాన్జ్ కాఫీ,per 50 gm,68,70.0,beverages,https://cdn.mydukaan.io/app/image/371x371/?url=https://mydukaan.s3.amazonaws.com/beverages/bru-instant-coffee-jqgv8j2sqr.jpg
31,bru green label / బ్రూ గ్రీన్ లేబుల్,Size: 100gm,25,,beverages,https://cdn.mydukaan.io/app/image/371x371/?url=https://mydukaan.s3.amazonaws.com/4095334/aed5eba0-f960-4532-acdb-c318a2972346/1620047641769-bdc75915-3712-4ef6-8f89-fe067daa6979.jpeg
32,bru instant coffee hotel pack / బ్రూ ఇన్‌స్టంట్ కాఫీ హోటల్ ప్యాక్,per 200 gram,155,158.0,beverages,https://cdn.mydukaan.io/app/image/371x371/?url=https://mydukaan.s3.amazonaws.com/4095334/aed5eba0-f960-4532-acdb-c318a2972346/1620047714580-212eb93e-c3e6-4794-ae28-a9510b4ba2d3.jpeg
33,glucon-d instant energy health drink - tangy orange,Size: 125gm,40,,beverages,https://cdn.mydukaan.io/app/image/371x371/?url=https://mydukaan.s3.ap-south-1.amazonaws.com/beverages/glucon-d-instant-energy-health-drink-tangy-orange-434u8430p8.jpg
34,nescafe sunrise coffee,per 50 gm,90,,beverages,https://cdn.mydukaan.io/app/image/371x371/?url=https://mydukaan.s3.ap-south-1.amazonaws.com/beverages/nescafe-sunrise-coffee-0p5it50jxl.jpg
35,continental xtra instant coffee,per 75 gram,110,115.0,beverages,https://cdn.mydukaan.io/app/image/371x371/?url=https://mydukaan.s3.amazonaws.com/4095334/aed5eba0-f960-4532-acdb-c318a2972346/1624620634204-28d1c456-2f69-45de-bfc3-decac24394d7.jpeg
36,continental xtra instant coffee jar,per 200 gram,250,260.0,beverages,https://cdn.mydukaan.io/app/image/371x371/?url=https://mydukaan.s3.amazonaws.com/4095334/aed5eba0-f960-4532-acdb-c318a2972346/1624620645614-a622b640-e4ee-4bf2-8fbb-e0e91e0a4d54.jpeg
37,lipton green tea 250g powder,per 250 gm,300,310.0,beverages,https://cdn.mydukaan.io/app/image/371x371/?url=https://mydukaan-prod.s3.amazonaws.com/master/products/lipton-green-tea-250g.jpg
38,lipton green tea honey lemon 100gm powder,per 100 gm,145,150.0,beverages,https://cdn.mydukaan.io/app/image/371x371/?url=https://mydukaan-prod.s3.amazonaws.com/master/products/lipton-green-tea-honey-lemon-100gm.jpg
39,horlicks classic malt jar 500g,per 500 gm,240,245.0,beverages,https://cdn.mydukaan.io/app/image/371x371/?url=https://mydukaan-prod.s3.amazonaws.com/master/products/horlicks-classic-malt-jar-500g.png
40,horlicks classic malt pouch 500g,per 500 gm,185,190.0,beverages,https://cdn.mydukaan.io/app/image/371x371/?url=https://mydukaan-prod.s3.amazonaws.com/master/products/horlicks-classic-malt-refill-500g.png
41,visakha milk,per liter,60,62.0,beverages,https://cdn.mydukaan.io/app/image/371x371/?url=https://dukaan-us.s3.amazonaws.com/4095334/aed5eba0-f960-4532-acdb-c318a2972346/1627392415522-e1869e39-9dc1-4584-870f-c2155e74b032.jpeg
42,visakha milk,per 500 ml,27,29.0,beverages,https://cdn.mydukaan.io/app/image/371x371/?url=https://dukaan-us.s3.amazonaws.com/4095334/aed5eba0-f960-4532-acdb-c318a2972346/1627392523140-cf057812-d8be-429c-b6e6-53d7934e9739.jpeg
43,sangam extra life milk,per 180 ml,10,,beverages,https://cdn.mydukaan.io/app/image/371x371/?url=https://dukaan-us.s3.amazonaws.com/4095334/aed5eba0-f960-4532-acdb-c318a2972346/1627392698848-90ecf0a2-8c2f-4cc4-960f-e269a75812e3.jpeg
44,nandini milk,per 160 ml,10,,beverages,https://cdn.mydukaan.io/app/image/371x371/?url=https://dukaan-us.s3.amazonaws.com/4095334/aed5eba0-f960-4532-acdb-c318a2972346/1627392848759-734e0f4b-5f88-4631-8837-66f242724433.jpeg
0,nestle milkmaid sweetened condensed milk/నెస్లే మిల్క్‌మెయిడ్ స్వీటెన్డ్ కండెన్స్‌డ్ మిల్క్,per 400 g,125,,dairy,https://cdn.mydukaan.io/app/image/371x371/?url=https://mydukaan.s3.amazonaws.com/dairy-bakery/nestle-milkmaid-sweetened-condensed-milk-q26835hw65.jpg
1,vishaka milk/విశాకా పాలు,Size: 500ml,27,29.0,dairy,https://cdn.mydukaan.io/app/image/371x371/?url=https://mydukaan.s3.amazonaws.com/4095334/aed5eba0-f960-4532-acdb-c318a2972346/1621432163189-ac3147cf-9f29-4dbd-bbcb-01e22f1a35c3.jpeg
2,baking powder / బేకింగ్ పౌడర్,per 100 gram,15,20.0,dairy,https://cdn.mydukaan.io/app/image/371x371/?url=https://mydukaan.s3.amazonaws.com/4095334/aed5eba0-f960-4532-acdb-c318a2972346/1621402613801-cdb18a77-0e1b-4182-8c22-02cf424e7433.jpeg
3,nestle every day milk powder,per 400 gram,203,,dairy,https://cdn.mydukaan.io/app/image/371x371/?url=https://mydukaan.s3.amazonaws.com/4095334/aed5eba0-f960-4532-acdb-c318a2972346/1622869654975-a543abc4-6dc3-4187-a10d-990b1af1ad03.jpeg
4,nestle every day milk powder,per 200 gram,104,,dairy,https://cdn.mydukaan.io/app/image/371x371/?url=https://mydukaan.s3.amazonaws.com/4095334/aed5eba0-f960-4532-acdb-c318a2972346/1622869644634-9f710fd9-157e-4f08-8c87-2a9daa51dae4.jpeg
5,nestle every day milk powder,per 20 gram,10,,dairy,https://cdn.mydukaan.io/app/image/371x371/?url=https://mydukaan.s3.amazonaws.com/4095334/aed5eba0-f960-4532-acdb-c318a2972346/1622869631946-d946538b-4663-4418-9be0-5e96c9ed954b.jpeg
0,కందిపప్పు /toor dall /. kandhipappu,Size: 250g,30,33.0,dals,https://cdn.mydukaan.io/app/image/357x357/?url=https://mydukaan.s3.amazonaws.com/4095334/aed5eba0-f960-4532-acdb-c318a2972346/1619149957779-920a1f31-4e04-476d-96e3-8076fa8a1d8a.jpeg
1,శనగపప్పు/ bengal gram / chana dal / senagapappu,Size: 250gm,20,25.0,dals,https://cdn.mydukaan.io/app/image/357x357/?url=https://mydukaan.s3.amazonaws.com/4095334/aed5eba0-f960-4532-acdb-c318a2972346/1619150529172-1238aba6-96fe-4e39-917c-2bd838b46a7b.jpeg
2,మినపప్పు/black gram/urad dal / menapappu,Size: 250gm,25,30.0,dals,https://cdn.mydukaan.io/app/image/357x357/?url=https://mydukaan.s3.amazonaws.com/4095334/aed5eba0-f960-4532-acdb-c318a2972346/1619157692721-bf96504b-c9aa-423d-9be6-3210cc201620.jpeg
3,పెసరపప్పు /moong dal/ green gram / paysarapappu,Size: 100gm,12,17.0,dals,https://cdn.mydukaan.io/app/image/357x357/?url=https://mydukaan.s3.amazonaws.com/4095334/aed5eba0-f960-4532-acdb-c318a2972346/1619157708183-1dce3e66-b2e5-4a01-9ea2-1052b2d6fb7d.jpeg
4,పెసలు/ whole green gram dal/ paysalu,Size: 250gm,30,,dals,https://cdn.mydukaan.io/app/image/357x357/?url=https://mydukaan.s3.amazonaws.com/4095334/aed5eba0-f960-4532-acdb-c318a2972346/1619157726059-dac48af8-276a-4076-94e1-4ee888a6fc8b.jpeg
